Job ID,Schedule Type,Level,Function(s),Region,Division,Business Unit,Employment Type,url,Job Title,Job Responsibilities,Location
2018-42252,Full Time,Vice President/Executive Director,Technology,India,Engineering,CCBD Technology,Employee,https://careers-goldmansachs.icims.com/jobs/42252/ccbd-tech---marcus-scrum-master---vice-president---bengaluru/job?hub=7,CCBD Tech - Marcus Scrum Master - Vice President - Bengaluru,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment This position is within the Consumer and Commercial banking division Responsible for execution and delivery of platforms within agile framework Responsible for analytical reporting deliverable tracking removal of blockers and escalation of issues ,IN-Bengaluru
2018-49518,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,Platform,Employee,https://uscareers-goldmansachs.icims.com/jobs/49518/core-engineering---deployment-runtime-and-architecture---user-platforms-software-engineer/job?hub=7,Core Engineering - Deployment Runtime and Architecture - User Platforms Software Engineer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The User Platform Engineering team is responsible for the desktop Windows server and end user authentication platforms for Goldman Sachs The team architects and engineers the Microsoft operating systems and enterprise products such as Windows Windows Server Microsoft Active Directory and Microsoft SCCM third party enterprise VDI products such as Citrix XenDesktop and XenServer as well as multiple custom in house systems management and software delivery platforms The successful candidate will work on critical global platforms used by everyone at Goldman Sachs including NDS our Network Desktop Solution that allows our people to access their workplace desktop from any computer and Login GS our remote and at home solution which allows the same level of access from home or on the road We are looking for NET developers with experience in Windows enterprise infrastructure who understand the requirements for global distributed platforms that require very high levels of uptime The ideal candidate will have a minimum of five years of professional experience in a software engineering role ,US-NJ-Jersey City
2018-48049,Full Time,Associate,Technology,Japan,Engineering,Platform,Employee,https://careers-goldmansachs.icims.com/jobs/48049/core-engineering---deployment-runtime-and-architecture---unix-engineering---cloud-system-engineer/job?hub=7,Core Engineering - Deployment Runtime and Architecture - UNIX Engineering - Cloud System Engineer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment BUSINESS UNIT OVERVIEW Cloud Platforms is a global team that develops and manages the Linux Windows computing platform at Goldman Sachs TEAM OVERVIEW The cloud engineering team works closely with application developers strategists to architect and deploy technology solutions at Goldman Sachs The team currently supports an internal cloud platform is developing solutions for deploying applications on public cloud offerings and is releasing a next generation compute platform JOB DESCRIPTION The system engineer role is responsible for supporting specific business units needs and maintaining core infrastructure systems Specifically this involves day to day responsibilities such as application and service troubleshooting system configuration host provisioning performance testing and tuning and hardware evaluation You will also be responsible for writing code to automate tasks and implement infrastructure services Lastly you delve into new technologies docker mesos salt more understanding how each can be introduced to support the continued evolution of the compute platform ,JP-Minato-ku
2019-50765,Full Time,Associate,Technology,Americas,Engineering,Commercial Banking Technology,Employee,https://uscareers-goldmansachs.icims.com/jobs/50765/commercial-banking-%e2%80%93--team-projects-and-strategy/job?hub=7,Commercial Banking – Team Projects and Strategy,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Commercial Banking aims to provide comprehensive cash management solutions for corporations Commercial Banking combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Our goal is to provide the best client experience Through the use of modern technologies centered on data and analytics we provide customers with powerful tools that are grounded in value transparency and simplicity to improve cash flow management efficiency ,US-NY-New York
2019-50658,Full Time,Administrative/Support,Technology,Americas,Engineering,Tech Infrastructure - Staff,Employee,https://uscareers-goldmansachs.icims.com/jobs/50658/platform---eto-operator-support---conference-operator/job?hub=7,Platform - ETO Operator Support - Conference Operator,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Design engineer deploy lifecycle manage the firm s voice multimedia systems messaging platforms desktop and productivity apps including MS Exchange perimeter gateways MS Office Outlook Visio Google docs Trader voice platforms call manager and Telepresence The group ensures the resiliency optimization security and protection of our systems and the delivery and management of the firm s robust product groups null,US-UT-Salt Lake City
2018-48121,Full Time,Analyst,Technology,India,Engineering,Technology Risk,Employee,https://careers-goldmansachs.icims.com/jobs/48121/technology-risk---measurement---tech-risk-engineering-developer--cue/job?hub=7,Technology Risk - Measurement - Tech Risk Engineering Developer- CUE,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Goldman Sachs Technology Risk is leading threat risk analysis and data science initiatives that are helping to protect the firm and our clients from information and cyber security risks Our team equips the firm with the knowledge and tools to measure risk identify and mitigate threats and protect against unauthorized disclosure of confidential information for our clients internal business functions and our extended supply chain GLOBAL RISK MEASUREMENT ANALYTICS identifies control weakness adherence to regulatory requirements and allows for the continuous control monitoring of individual key performance indicators that demonstrate the value of information security This program leverages tools and modeling to ensure technology policies and standards address critical risks and adequately address regulatory expectations throughout the Firm The Goldman Sachs Group Inc is a leading global financial services firm providing investment banking securities and investment management services to a substantial and diversified client base that includes corporations financial institutions governments and high net worth individuals Founded in the firm is headquartered in New York and maintains offices in London Frankfurt Tokyo Hong Kong and other major financial centers around the world The Goldman Sachs Technology Risk organization is a key part of the Goldman Sachs technology organization and encompasses Information Security Business Continuity and Risk Advisory functions The Special High Impact Project team within Technology Risk is tasked with creating software to increase the effectiveness of technology risk controls across the Firm These projects involve systems across the globe and present the opportunity to interact with all manner of business processing infrastructure and people across the Firm with the desired outcome being quality near zero support systems which positively impact the Firm s overall technical risk posture We are seeking to build a team of highly motivated and technically savvy engineers to execute these unique projects with the opportunity to create new systems as well as uplift existing ones This position will be based in New York or Bengaluru ,IN-Bengaluru
2018-46582,Full Time,Analyst,Technology,India,Engineering,Finance Eng,Employee,https://careers-goldmansachs.icims.com/jobs/46582/finance-%26-risk-engineering---model-risk-management-tech---java-developer/job?hub=7,Finance & Risk Engineering - Model Risk Management Tech - Java Developer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment In Finance Risk Engineering you ll find an exciting confluence of computer science finance and mathematics being used to solve for what our shareholders would like from us a high return for the right risk taken Are you interested in learning about risk and finance or perhaps expanding what you know while still staying close to your roots as a software engineer As a business software engineer in the Finance Risk Engineering organization under the Technology Division you will have the opportunity to impact one or more aspects of risk management and financial reporting while working in small nimble teams to provide technical products that meet our constantly changing business needs Our partnership with the Finance and Risk Divisions respectively directly correlates to Goldman Sachs core competencies monitoring measuring and reporting not only risk exposures but also financial transactions We engage with senior leadership across various areas of the firm in addition to a number of divisional committees and regulatory entities Wherever your interests fall you will find your calling amidst our diverse mix of teams and functions Specific to MRMT the Model Risk Management Technology MRMT team partners with the firm s Model Risk Management MRM group in Risk division to define implement and support various MRM functions including model Inventorization inventory attestation risk assessment validation finding management process verification and change control The team completely owns IT Infrastructure and drives the technology implementation to cater to these evolving functions The systems built by the team are used by MRMs Model developers and Model owners across the firm Our projects include developing modules to review historical model data applying analytics and machine learning to detect flag Anomalies in Model behavior and evaluate if changes in products clients or market conditions necessitate adjustment redevelopment or replacement of existing models MRMT team members work on the full technological stack in a fast paced iterative development environment As an engineer in this team you will make significant contributions to the firm s Model Risk Management framework and governance structure ,IN-Bengaluru
2019-50435,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,IBD Technology,Employee,https://uscareers-goldmansachs.icims.com/jobs/50435/vice-president%2c-tech01021930ibd/job?hub=7,"Vice President, TECH01021930IBD",Vice President with Goldman Sachs Co LLC in Jersey City NJ Work Schedule hours per week a m to p m ,US-NJ-Jersey City
2018-49594,Full Time,Associate,Engineering,EMEA,Engineering,Data Intelligence,Employee,https://careers-goldmansachs.icims.com/jobs/49594/data-governance-developer-%e2%80%93-java-%2c-sql---graph-database-developer/job?hub=7,"Data Governance Developer – Java , SQL - Graph Database Developer",ENGINEERING What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment TEAM OVERVIEW The Data Intelligence team is creating a new consultative service offering providing data modeling and curation services to multiple business areas within Goldman Sachs These services will include physical and logical data modeling data transformation curation governance and facilitating access and delivery Team members will use using a unified set of technology processes and tools along with a standardized modelling language to streamline the process of data exchange between producers and consumers The team leverages a wide variety of cutting edge data technologies including Hadoop HDFS Spark Apache Beam Apache Flink Apache Kafka SQL OLAP platforms Hive Java and Python ,PL-Warsaw
2018-48950,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,Platform,Employee,https://uscareers-goldmansachs.icims.com/jobs/48950/core-engineering---eto-and-vendor-management---strategy-and-execution---finance-analyst/job?hub=7,Core Engineering - ETO and Vendor Management - Strategy and Execution - Finance Analyst,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The role will be split between managing individual projects setting best practices for the BU and assisting in the management of the overall portfolio and management of the Technology divisions monthly managed spend capital spend and headcount activity oversight of the BU s financial dashboard and ad hoc reporting to senior leadership on the Tech divisions financials and headcount The individual will be expected to be able to become technical enough in any Core Engineering area to have meaningful discussions with lead engineers and product owners ,US-NJ-Jersey City
2018-42395,Full Time,Analyst,Technology,India,Engineering,Consumer Banking Technology,Employee,https://careers-goldmansachs.icims.com/jobs/42395/ccbd-tech---uk-consumer-deposits-technology---ccbd-tech%2c-application-development%2c-front-end-developer---bangalore/job?hub=7,"CCBD Tech - UK Consumer Deposits Technology - CCBD Tech, Application Development, Front-End Developer - Bangalore",What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Consumer and Commercial Banking CCBD Consumer and Commercial Banking brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their personal financial goals We make direct investments in and risk manage a portfolio of corporate loans and securities And we help transform distressed communities through investments and loans of private capital Digital Finance Digital Finance a business unit within CCBD is comprised of the firm s digitally led consumer businesses which include the Marcus deposits and lending businesses as well as the personal financial management app Clarity Money Digital Finance combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Through the use of machine learning and intuitive design we provide customers with powerful tools that are grounded in value transparency and simplicity to help them make smarter decisions about their money ,IN-Bengaluru
2018-49595,Full Time,Vice President/Executive Director,Engineering,EMEA,Engineering,Data Intelligence,Employee,https://careers-goldmansachs.icims.com/jobs/49595/data-governance-developer-%e2%80%93--java%2c-javascript%2c-sql%2c-graph-database/job?hub=7,"Data Governance Developer – Java, JavaScript, SQL, Graph Database",ENGINEERING What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment TEAM OVERVIEW The Data Intelligence team is creating a new consultative service offering providing data modeling and curation services to multiple business areas within Goldman Sachs These services will include physical and logical data modeling data transformation curation governance and facilitating access and delivery Team members will use using a unified set of technology processes and tools along with a standardized modelling language to streamline the process of data exchange between producers and consumers The team leverages a wide variety of cutting edge data technologies including Hadoop HDFS Spark Apache Beam Apache Flink Apache Kafka SQL OLAP platforms Hive Java and Python ,PL-Warsaw
2019-50292,Full Time,Associate,Technology,Americas,Engineering,Data Intelligence,Employee,https://uscareers-goldmansachs.icims.com/jobs/50292/associate---tech010819csdi/job?hub=7,Associate - TECH010819CSDI,Associate with Goldman Sachs Services LLC in New York NY Work Schedule hours per week a m to p m ,US-NY-New York
2019-50016,Full Time,Vice President/Executive Director,Technology,India,Engineering,Commercial Banking Technology,Employee,https://careers-goldmansachs.icims.com/jobs/50016/commercial-banking--%e2%80%93-full-stack-developer/job?hub=7,Commercial Banking – Full Stack Developer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment What We Do At Goldman Sachs our Engineers don t just make things we make things possible We change the world by connecting people and capital with ideas and solve the most challenging and pressing engineering problems for our clients Our engineering teams build scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Engineering which is comprised of our Technology Division and global strategist groups is at the critical center of our business Our dynamic environment requires innovative strategic thinking Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The Commercial Banking Division brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their financial goals We make direct investments in and manage risk for a portfolio of corporate loans and securities We help transform distressed communities through investments and loans of private capital Commercial Banking Commercial Banking aims to provide comprehensive cash management solutions for corporations Commercial Banking combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Our goal is to provide the best client experience Through the use of modern technologies centered on data and analytics we provide customers with powerful tools that are grounded in value transparency and simplicity to improve cash flow management efficiency ,IN-Bengaluru
2018-44052,Full Time,Vice President/Executive Director,Engineering,EMEA,Engineering,Platform,Employee,https://careers-goldmansachs.icims.com/jobs/44052/site-reliability-engineer/job?hub=7,Site Reliability Engineer,Site Reliability Engineering SRE is an engineering discipline that combines software and systems engineering to build and run large scale massively distributed fault tolerant systems At Goldman Sachs SRE is responsible for the availability and reliability of our firm s most critical platform services and ensures they meet the requirements of our internal and external users We look for engineers who are motivated to collaborate with our businesses to build and run sustainable production systems which can evolve and adapt to changes in our fast paced global business environment WHAT WE DO At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here ,UK-London
2019-50361,Full Time,Associate,Engineering,EMEA,Engineering,Operations Engineering,Employee,https://careers-goldmansachs.icims.com/jobs/50361/operations-engineering-%e2%80%93-client-assets-%e2%80%93-software-engineer/job?hub=7,Operations Engineering – Client Assets – Software Engineer,WHAT WE DO At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here WHO WE LOOK FOR Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment OUR IMPACT The Operations Division is the engine room that powers Goldman Sachs and Operations Technology is driving their industrialization through automation digitization and orchestration Client Assets Technology is at the core of Client Protection and Collateral Management functions for Goldman Sachs Globally YOUR IMPACT You will be working to analyse design build and support the next generation Client Assets Platform responsible for the segregation of customer assets implementing complex optimization calculations and controls across business functions and asset classes As an engineer in Client Assets technology you will be required to work with a diverse and skilled set of global engineers facing of directly with business users on initiatives that have a direct impact to the firms PnL You will be expected to actively engaging in all parts of the design and Agile delivery with a healthy capacity to learn new technologies practices and contribute back to the team ,PL-Warsaw
2018-49312,Full Time,Analyst,Technology,EMEA,Engineering,Consumer Banking Technology,Employee,https://careers-goldmansachs.icims.com/jobs/49312/consumer-banking-technology---uk-consumer-deposits-technology---ccbd-tech%2c-application-development%2c-front-end-developer/job?hub=7,"Consumer Banking Technology - UK Consumer Deposits Technology - CCBD Tech, Application Development, Front-End Developer",What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Consumer and Commercial Banking CCBD Consumer and Commercial Banking brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their personal financial goals We make direct investments in and risk manage a portfolio of corporate loans and securities And we help transform distressed communities through investments and loans of private capital Digital Finance Digital Finance a business unit within CCBD is comprised of the firm s digitally led consumer businesses which include the Marcus deposits and lending businesses as well as the personal financial management app Clarity Money Digital Finance combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Through the use of machine learning and intuitive design we provide customers with powerful tools that are grounded in value transparency and simplicity to help them make smarter decisions about their money ,PL-Warsaw
2019-50871,Full Time,Associate,Technology,Americas,Engineering,Commercial Banking Technology,Employee,https://uscareers-goldmansachs.icims.com/jobs/50871/commercial-banking----platform-engineering---testing-engineer/job?hub=7,Commercial Banking - Platform Engineering - Testing Engineer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible We change the world by connecting people and capital with ideas and solve the most challenging and pressing engineering problems for our clients Our engineering teams build scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Engineering which is comprised of our Technology Division and global strategist groups is at the critical center of our business Our dynamic environment requires innovative strategic thinking Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The Consumer and Commercial Banking Division CCBD brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their financial goals We make direct investments in and manage risk for a portfolio of corporate loans and securities We help transform distressed communities through investments and loans of private capital Commercial Banking Commercial Banking a business unit within CCBD aims to provide comprehensive cash management solutions for corporations CCBD Commercial Banking combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Our goal is to provide the best client experience Through the use of modern technologies centered on data and analytics we provide customers with powerful tools that are grounded in value transparency and simplicity to improve cash flow management efficiency ,US-NY-New York
2018-49774,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,PWM Technology,Employee,https://uscareers-goldmansachs.icims.com/jobs/49774/pwm-technology---client-communications---lead-developer/job?hub=7,PWM Technology - Client Communications - Lead Developer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The Private Wealth Management PWM business provides end to end Investment Management services and advice across a large range of asset classes for high net worth individuals PWM leverages a global technology platform offering an integrated suite of tools and applications to onboard clients Our software helps realize a client s goals and objectives develops and implements an integrated wealth management plan and delivers first class client service In Private Wealth Management we help our clients pursue their wealth management goals through careful advice astute investment management We work closely with high net worth individuals families and select foundations and endowments to develop wealth and investment management strategies We then identify investment opportunities to help them reach their objectives We complement these services with robust execution capabilities and attentive client service PWM Client Communications Technology team part of PWM Technology is responsible for building a strategic platform to deliver Client Communications E g Statements Tax Documents etc through digital and print channels Communications can be one way or two way needing a client signature such as Account Opening documents Team will be executing a multi year strategy to build the platform which will be used for new regulatory business communications in addition to migration of existing communications Platform will comprise of scalable and reusable services to create manage a communication starting from being able to produce document using various data sources identify delivery recipients deliver through electronic print channels Platform enables others applications to create and manage communications using REST Services Business users can create communications using rich user interface to be built using React and other webtool kits Platform should be capable of managing high volumes of communication requests with varying time sensitivity using priority across multiple tenants via queue event based frameworks like Netflix Conductor Rabbit MQ Platform will support various products which are responsible for generating documents Our team of engineers builds solutions to most complex problems and has the opportunity to work with business operations as stakeholders This role offers the opportunity to work directly with various stakeholders including Architects Business sponsors to develop innovative solutions for the PWM Client Communications platform ,US-UT-Salt Lake City
2019-50163,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,Tech Infrastructure - Staff,Employee,https://uscareers-goldmansachs.icims.com/jobs/50163/vice-president---tech010219kaplt/job?hub=7,Vice President - TECH010219KAPLT,Vice President with Goldman Sachs Services LLP in Jersey City NJ Work Schedule hours per week a m to p m ,US-NJ-Jersey City
